Название,Категория,Цена,Страна/Город,Ссылка,Фото
Ремонт квартир,"Ремонт квартиры, дома",Договорная,Витебск,https://www.kufar.by/item/140467445,https://yams.kufar.by/api/v1/kufar-ads/images/33/3374581227.jpg?rule=list_thumbs_2x
Проволока стальная черная,"Новое, прочее для ремонта и стройки",Договорная,"Минск, Октябрьский",https://www.kufar.by/item/77138974,https://yams.kufar.by/api/v1/kufar-ads/images/74/7426516446.jpg?rule=list_thumbs_2x
Срочная перевозка грузов. Грузчики (24/7),Перевозки пассажиров и грузов,Договорная,Витебск,https://www.kufar.by/item/92185195,https://yams.kufar.by/api/v1/kufar-ads/images/68/6898398522.jpg?rule=list_thumbs_2x
Юбка ,"Б/у, одежда для девочек, платья, сарафаны, юбки, 134 - 140 (9 лет), 140 - 146 (10 лет)",20 р.,"Витебская, Другие города",https://www.kufar.by/item/153273693,https://yams.kufar.by/api/v1/kufar-ads/images/88/8830446025.jpg?rule=list_thumbs_2x
Комбинезон для малышки,"Б/у, одежда до 1 года, верхняя одежда, для девочек, 68 - 74 (6-8 месяцев), 74 - 80 (8-12 месяцев)",20 р.,"Минская, Узда",https://www.kufar.by/item/153273682,https://yams.kufar.by/api/v1/kufar-ads/images/88/8809342920.jpg?rule=list_thumbs_2x
НУЖДАЮТСЯ В ПОМОЩИ,"Домашние питомцы, собаки",Бесплатно,"Минск, Советский",https://www.kufar.by/item/153273689,https://yams.kufar.by/api/v1/kufar-ads/images/88/8833408459.jpg?rule=list_thumbs_2x
Киндер. Марвел ,Коллекции,Договорная,Гродно,https://www.kufar.by/item/153273692,https://yams.kufar.by/api/v1/kufar-ads/images/88/8894963815.jpg?rule=list_thumbs_2x
Теплый костюм,"Б/у, одежда до 1 года, костюмчики, для девочек, 74 - 80 (8-12 месяцев)",15 р.,"Минская, Солигорск",https://www.kufar.by/item/153273690,https://yams.kufar.by/api/v1/kufar-ads/images/88/8854135199.jpg?rule=list_thumbs_2x
Померанский шпиц ,Вязка животных,Договорная,"Могилевская, Бобруйск",https://www.kufar.by/item/153273691,https://yams.kufar.by/api/v1/kufar-ads/images/88/8818612778.jpg?rule=list_thumbs_2x
Новый бюстгальтер Karl Lagerfeld,"Новое, женская одежда, белье, 46 (M), 48 (L)",150 р.,"Минск, Центральный",https://www.kufar.by/item/139666012,https://yams.kufar.by/api/v1/kufar-ads/images/25/2598864178.jpg?rule=list_thumbs_2x
Котёнок котик в дар,"Домашние питомцы, кошки",Бесплатно,"Минская, Минский район",https://www.kufar.by/item/148176246,https://yams.kufar.by/api/v1/kufar-ads/images/88/8818641649.jpg?rule=list_thumbs_2x
редуктор,"Б/у, строительное оборудование",250 р.,"Минск, Московский",https://www.kufar.by/item/153273683,https://yams.kufar.by/api/v1/kufar-ads/images/88/8817108360.jpg?rule=list_thumbs_2x
Худи F&F,"Б/у, одежда для девочек, кофты, свитеры, жилетки, 92 - 98 (3 года), 98 - 104 (4 года), 104 - 110 (5 лет)",10 р.,Гродно,https://www.kufar.by/item/153273684,https://yams.kufar.by/api/v1/kufar-ads/images/88/8863642216.jpg?rule=list_thumbs_2x
Футболка ФК Ливерпуль,"Б/у, мужская одежда, майки и футболки, 48 (M), деми",30 р.,Витебск,https://www.kufar.by/item/153273685,https://yams.kufar.by/api/v1/kufar-ads/images/88/8836000719.jpg?rule=list_thumbs_2x
Лот платюшек,"Б/у, одежда для девочек, платья, сарафаны, юбки, 92 - 98 (3 года), 98 - 104 (4 года)",7 р.,"Витебская, Орша",https://www.kufar.by/item/153273686,https://yams.kufar.by/api/v1/kufar-ads/images/88/8857294581.jpg?rule=list_thumbs_2x
"Сумка, спортивный стиль. ","Б/у, сумки",35 р.,"Минск, Московский",https://www.kufar.by/item/153273688,https://yams.kufar.by/api/v1/kufar-ads/images/88/8875920910.jpg?rule=list_thumbs_2x
Цельный комбезик для девочки р. 1-3 года. ,"Б/у, одежда для девочек, комбинезоны, 80 - 86 (1-2 года), 86 - 92 (2 года)",10 р.,Гомель,https://www.kufar.by/item/153273681,https://yams.kufar.by/api/v1/kufar-ads/images/88/8878513170.jpg?rule=list_thumbs_2x
Самокат детский,"Б/у, детский транспорт",60 р.,"Минская, Солигорск",https://www.kufar.by/item/153273687,https://yams.kufar.by/api/v1/kufar-ads/images/88/8878617314.jpg?rule=list_thumbs_2x
Кухни Феникс с фурнитурой блюм,"Новое, кухни",Договорная,"Минск, Центральный",https://www.kufar.by/item/153272433,https://yams.kufar.by/api/v1/kufar-ads/images/88/8846845119.jpg?rule=list_thumbs_2x
